《机械设计基础》这本书的作者是谁？	杨可桢，程光蕴，李仲生	其他
你知道做番茄柠檬冰沙需要哪些调味品吗？	蜂蜜	食品
疯狂赛马ⅱ的分享类型是什么啊？	免费	词语
你知道苏丹人一般来说会讲什么语言吗？	阿拉伯语	地点
得胜乐·红日晚的曲牌是什么啊？	得胜乐	文学作品
yeepay的总部在哪啊？	北京	首都
琥珀酸二钠的编码是什么呀？	gb 12.005	单位
你知道加布里埃·香奈儿写过哪些作品吗？	黑色洋装	游戏
通辽市奈曼旗蒙古族幼儿园是在哪个省份里面啊？	内蒙古自治区 通辽市 市辖区	地点
谁清楚在2002年日本大奖赛中的赛事细节有什么啊？	2002年世界一级方程式锦标赛共17站中的第17站	日期
李李仁的妻子叫什么名字啊？	陶晶莹	人物
唐顿庄园第三季一集大概有多久啊？	40分钟	单位
你知道机器人9号的声音是谁配的嘛？	dts/dolby digital	单位
弓定天下是哪年出的啊？	2013年	日期
杰弗里·拉什这个人在什么电影中获得了最佳男主角？	最佳男主角 1996年 《钢琴师》	日期
经典k联赛的球队数目有多少啊？	12 队	字词
沙特阿拉伯有哪些政治文化？	古兰经 沙里亚法	小说
三星r439-ds01核心类型是什么？	arrandale	英文名
有人知道魔女的媚药这本书将在什么时候正式上架么？	2011-12-11 21:31	日期
古筝指甲有哪些不同款式？	凹槽 平面 双槽	人物
2013年安哥拉建材展的展出时间在什么时候？	2013年10月24-27号	日期
在欧洲组织中保守党的含义是什么？	欧洲保守与改革者联盟（英语：alliance of european conservatives and reformists）	语言术语
你知道在龙林高速公路上的公路设施有多少个嘛？	4	数字
英国国防部主要机构概要是什么？	1964年（作为现在的部门）	日期
你知道挞着这个节目的主持人是谁吗？	卢觅雪	人物
浙江省实施《中华人民共和国红十字会法》办法是什么时候通过的？	1997年9月1日	日期
湖南省人民政府办公厅关于重新调整省国家税务局、省地方税务局部分税收征管范围的通知在什么时间正式执行？	1998年4月1日	日期
海尔xpb65-997bs是怎么进行水位选择的？	三段	字词
你知道园北社区这个区域的类别是什么吗？	社区	地点
甘夫人这个人物的体力值是多少？	3	数字
你知道张老庄村在过去有什么大事件发生过吗？	淮海战役	历史
便携式一氧化碳报警器的传感器是按照什么原理制作出来的？	电化学	化工产品
谁知道仙途2这个游戏基本上在哪些地方进行收费？	道具收费	网站
绝对湿度的指标是什么？	mg/l	单位
1974年铝制1美分硬币是什么时候进行设计的呀？	1909年	日期
长征五号系列运载火箭在什么时候进行首飞呢？	2016年年底（预计）	日期
有人知道在拉丁文里面飘窗的名字是什么吗？	windows	英文名
fast望远镜隶属于哪个科学院？	中国科学院	组织机构
谁知道后台数据库详细的资料是什么？	见下文	字词
有人知道2012云南公务员考试-历年真题精解+全真模拟预测试卷（上）行测是谁进行主要编辑的吗？	李永新	人物
皒这个字的意思什么？	白色	字词
你知道老虎航空的呼号是什么吗？	go cat	英文名
放松所前站在什么时候成为废站的？	1982年6月10日	日期
伊尔卡伊·京多安这个球员在2011年发生了什么？ 	53	数字
新加坡元的发行机构是哪？	新加坡金融管理局	组织机构
包法利夫人有什么出名的原创音乐呢？	yuri khanin	英文名
你知道什么时候大家都开始喜欢反差萌的嘛？	2000年	日期
中华艺术宫站是什么时候建成的呢？	2007年底	日期
你知道是哪个民族发明的浙江风鸡么？	汉族	民族
什么时候叶秀蕃去世下葬的？	1966年	日期
距离安德林吉特拉国家公园最近的城市是哪啊？	安巴拉沃	地点
谁知道威尔士足球超级联赛的系统级别是多少？	1	数字
索尼e1411sbc的最高睿频是多少？	3100mhz	单位
play是什么类型的专辑啊？	个人专辑	专辑
你知道三联导入疗法是给谁设置的吗？	女性	性别
你知道xcard播出卡的芯片是什么吗？	sigmadesignem8475	单位
rbs-15f是哪个国家研制的啊？	瑞典	国家
格里芬湖流域什么国家？	瑞士	国家
你知道炯奈语的语言系列吗？	苗瑶语系	语言
上海珞宾科技发展有限公司是谁建的啊？	吴奎谋（10年轮胎翻新经历）	日期
你知道埃斯林根县的汽车牌号是什么啊？	es	英文名
钓鱼岛及其附属岛屿是谁的啊？	中华人民共和国	人物
你知道恩微gt240上将版 1gb的显存速度是什么吗？	1.2ns	单位
艾诺v7000hdk(8gb) 这个有电子书的功能吗？	支持	字词
你知道关于加强中国2010年上海世博会期间寄递物品安全监管工作的通告是谁发布的吗？	国家邮政局 国家安全部 公安部	组织机构
你知道canhigher nc608的最大内存是多少啊？	8mb	单位
女是用五笔是什么啊？	vvvv	英文名
你知道到柯美bizhub350的预热时间是多少吗？	<24秒	单位
印第安纳波利斯号攻击核潜艇的长度是多少啊？	110.3米	单位
你知道金亿2gb ddr2 800（笔记本）的内存主频多少吗？	800mhz	单位
你清楚凡瑟的裂片妖的卡牌版本吗？	time spiral	英文名
范百龄有什么电视作品吗？	天龙八部	文学作品
你知道阿什福德的邮区编号是什么吗？	tn23, tn24, tn25	单位
你知道宁夏回族自治区实施《中华人民共和国农产品质量安全法》办法是什么时候开会吗？	2011年12月1日	日期
你知道isa技术是谁发明的吗？	积善堂	人物
我想知道欧阳智薇主持什么节目啊？	第一时间	时间
猫狗大战2:猫怪的复仇是什么文件格式啊？	xvid + mp3	单位
你知道圣约翰座堂是属于什么教的吗？	圣公宗	宗教人物
结婚成本的增长规律？	结婚成本在30年间增长了150倍	日期
你知道布里真德郡级自治市的邮镇是多少吗？	bridgend	英文名
你知道恒电eh1000需要多长时间转换吗？	<8毫秒毫秒	单位
你知道地狱火蝎子王二代是什么材质的吗？	布	字词
你知道丽江子馨小院客栈离车站多远啊？	3公里	单位
微观营销环境的相关机构是什么啊？	点墨	公司
你知道东风-4远程弹道导弹的长是多少啊？	2.25米	单位
奥尼wl-708mv它的单元直径是多少啊？	30mm	单位
isu-122/152重型突击炮战斗全重是多少千克？	46000kg	单位
巴州文物陈列馆是在什么时候建成的呢？	1989年10月	日期
你知道中华共和国的结束日期是什么时候吗？	1934年2月份	日期
公主道这个地方是在什么时间建成的呢？	1949年	日期
交通部中央气象局在每年有大概多少预算额？	新台币19.45亿（2013年）	日期
南泰熙在2007-2008年之间做了些什么？	→ 雷丁	组织机构
民族路的主要节点是哪里呀？	（由东至西） 中正路、明德路 环西路、环南路 中山高速公路 三民路一段 高铁南路五段	地点
你知道狗镇男孩这部电影是哪个电影公司拍的吗？	哥伦比亚电影公司	公司
北京生物研修学院是哪种类型的院校？	综合	词语
弯茎指环虫一般寄生在生物的什么部位？	鳃	字词
弹性四氟垫片的密度是多少？	0.6～0.8 g/cm3	单位
有人知道临海牛头山旅游度假区这个度假区规划的总面积是多少吗？	254平方公里	单位
皮卡迪利线的使用车辆是什么呢？	1973 tube stock六节编组 （预定于2020年更换）	日期
陈晓这个人在音乐领域中有什么成就呢？	你我	歌曲
你知道竹茎兰属它的属拼音名是什么么？	zhujinglanshu	英文名
还原大师的对白是哪个国家的语言呢？	英语	语言
武道真神是什么时候进行最后更新的？	2014-05-12	日期
摇滚天堂这个节目一般多长时间？	40分钟	单位
江苏盐城台励福叉车配件公司这个公司是在哪里注册的呢？	盐城	行政区划
大韩民国的文字在官方是怎么给定的？	韩文	字词
当年卡考曾经在哪个俱乐部效力啊？	纽伦堡	地点
大学计算机基础是谁著的？	陈晨	人物
大学生就业指导是哪个出版社出版的？	上海交通大学出版社	公司
计算机应用基础的出版时间是什么时候？	2011-08-15	日期
戈麦斯是哪国的？	阿根廷	国家
机械设计基础的isbn码是什么？	9787040192094	数字
大学计算机基础的全名叫什么？	大学计算机基础	书籍
谁知道am的英文全拼是什么呀？	agilemanufacturing	英文名
王强是哪一年出生的？	1911年	日期
荒途是在连载还是已经完结了？	连载	小说
张伟是在哪儿出生的？	湖北潜江	地点
机械设计基础的定价是多少？	24.50元	单位
刘勇是做什么职业的？	大学教授	人物
西湖的中文名称是什么？	杭州西湖	公园
李维来自哪个民族？	汉族	民族
李军的性别是什么？	男	性别
财务分析的开本是多大啊？	16	数字
国光的公司名称是什么？	国光	公司
刘勇是从哪个学校毕业的？	华东师范大学	大学
苏亚雷斯是哪个国家的人？	墨西哥	词语
刘涛的性别是什么？	男	性别
龙潭村的面积有多大？	3.4平方公里	单位
j2什么时候成立的？	2008年6月30日15时	日期
张伟是做什么的？	副教授	人物
秃鹰的中文学名是什么？	秃鹰远控	软件
王宁是何年何月出生的？	1956年3月	日期
北京天安中医院的是什么类型的医院？	营利性医院	医院
请问无苞组所属的科是什么？	兰科 orchidaceae	植物
潘基文的英文名你知道吗？	banki-moon	单位
《犯罪学》是什么类型的书？	司法制度 > 犯罪学	书籍
海棠属于什么门的植物？	被子植物门	植物
我想知道fa是什么？	足球术语	体育项目
你知道王磊来自于哪里吗？	辽宁省	人物
战神是什么类型的游戏啊？	2d?slg	单位
金荞麦所属的目是什么？	蓼目	植物
兴国寺在哪里？	山西五台山	景点
山茱萸属于哪类纲类植物？	木兰纲	生物
你知道萧皇后什么是时候逝世的吗？	1057年12月	日期
麻烦你告诉我张宇的民族。	汉	城市
你知道城关镇的外文名称是什么吗？	chengguanzhen	英文名
你知道睡莲有个拉丁学名吗？	nymphaea  l.	单位
照这么说新河村是什么类别的行政区？	村	字词
多花秋海棠是什么属的？	秋海棠属 begonia二	生物
我很好奇李娜身高是多少？	172cm	单位
田家是哪个年代创作的呢？	宋	朝代
你听说过安娜·卡列尼娜是谁导的吗？	克拉伦斯·布朗	人物
人们说的贞观是指从哪年到哪年啊？	1101年-1113年	日期
你知道玳瑁色虎斑猫的中文学名是什么？	玳瑁色虎斑猫	生物
你帮我问问陈刚的出生地在哪？	江苏高邮	地点
春日是一种什么体裁的文学作品？	诗	中国文学
麻烦你查一下圣乔治是哪个国家的？	美国	二战参战国家
你知道极乐吻鰕虎是什么纲的动物？	辐鳍鱼纲 actinopterygii	生物
隆头蛛是属于什么门的动物？	节肢动物门 arthropoda	植物
你听说极乐吻鰕虎是鱼类分类中的哪一科？	鰕虎科 gobiidae	动物
麦克白制片方是哪个国家的？	印度	地点
王皓练习的是哪类运动项目啊？	国际象棋	人物
电波女与青春男是谁翻译的啊？	may soarla 鱼籽	人物
你知道李婷现在多重了？	40公斤	单位
舞虻是属于那个目？	双翅目	动物
你知道《似水流年》是谁写的吗？	殷谦	人物
育才小学是什么时候创办的啊？	1993年	日期
张伟是从哪个学校毕业的呢？	广州美术学院	教育机构
煮八宝黑米粥需要什么食材？	百合 莲米	植物
《幽灵船》是什么公司出版的？	万卷出版公司	公司
tcp/ip详解卷1：协议（英文版·第2版）有副标题吗？	协议	自然学科
美丽新世界这个游戏有多大啊？	1.08m	单位
小红参是什么属的植物？	鼠尾草属 salvia	植物
你知道李尔王什么时候上映的吗？	1971年4月23日（芬兰）	日期
你知道《兄弟》是什么时候出版的吗？	2010年5月1日	日期
两天一夜这个综艺节目是那种语言的？	朝鲜语	字词
《我是天空里的一片云》的装帧怎么样？	精装	书籍
你知道石桥镇在什么地方吗？	中国 四川	历史
山羊是什么种的动物？	山羊	动物
思念是什么时候发行的？	2000年12月6日	日期
你知道西游记的编剧是谁吗？	王勉之	人物
吴王真实的名字是什么呢？	吴王	文化人物
清凉寺是在什么地理位置啊？	河北省行唐县	行政区划
麻烦你帮我查下《不朽》的isbn号是多少？	9787536467415	数字
金毛是种什么类型的动物？	家犬	动物
麻烦你告诉我白沙镇的区号是多少？	0371	数字
你知道对门山村的海拔有多高吗？	1350米	单位
电影《第一次》的对白语言是什么啊？	普通话	语言
你知道西瓜子是否含防腐剂吗？	否	字词
杨光还有别的名字吗？	杨思恒	人物
贩私的注音怎么拼写？	fàn sī	单位
你知道太平镇的占地面积是多少吗？	55.9平方公里	单位
你知道张宇有多高吗？	174.5 cm	单位
你知道野原新之助是什么座的吗？	射手座	星座
本田cr-v是什么品牌的啊？	cr-v	单位
柠檬草属于哪种亚纲？	鸭跖草亚纲	植物
你知道西北大学的外文名是什么吗？	northwest university	英文名
李刚是哪里的人啊？	河南省汝南县	行政区划
川贝母的二名法是什么？	fritillaria cirrhosa	英文名
鲇鱼属于那种亚纲？	辐鳍亚纲	计算机术语
李素是哪个朝代的人？	清代	朝代
《父亲》这部电影是谁导演的啊？	马基·麦基迪，majid majidi	人物
高山镇是什么类型的行政区？	乡镇	词语
《父亲》最早在哪个地方上映？	伊朗	地点
第十二夜是什么时候出品的？	1988年	日期
南克里斯塔尔属于市镇吗？	市镇	字词
彩虹这首歌是谁谱的曲？	周杰伦	人物
宠物托儿所这个游戏有多大啊？	2257k	单位
《霍元甲》这部电影的语言是什么？	普通话	语言
新城街道的上级行政区是什么？	山阳区	中国其他行政区划
《霍元甲》是什么时候上映的？	2000年1月1日	日期
哈姆雷特是什么公司出品的？	hepworth	英文名
太平镇有什么著名景点？	成子湖	地点
苏亚雷斯是哪个运动队的？	利物浦	地点
你知道x战警的原名叫什么吗？	x-men: the official game	单位
你知道李辉是党员还是群众吗？	群众	字词
新城街道的行政区划代码是多少？	410811009	数字
古城镇是什么样的气候条件啊？	亚热带季风气候	词语
卡洛斯什么时候出生的啊？	1818年1月31日 西班牙马德里	日期
王伟是在什么时候去世的啊？	2001年4月1日	日期
《这样算是僵尸吗？》属于哪个丛书系列的？	dragon comics age kadokawa comics boy series	英文名
《红日》的画面颜色是什么？	彩色	词语
你知道玉带海雕的英文名称吗？	pallas's fish-eagle	单位
城郊乡下属的村有多少你知道吗？	21	数字
李晓明是属于哪个政党的？	中国共产党	人物
城东街道有多少个社区？	2	数字
我想知道城郊乡下有多少个行政村数？	21	数字
bfs牛汇公司的口号是什么？	诚信 开放 透明	书籍
复活是什么色彩的？	彩色	词语
let it go是什么语言的歌曲？	中文	字词
杰斐逊县的网站是什么？	www.louisvilleky.gov	单位
李素的字号是什么？	贞一	字词
楔叶菊属于哪种亚科？	管状花亚科 carduoideae	植物
易蒙停主要含有什么药品？	盐酸洛哌丁胺胶囊	药品
东北大学是什么时候创建的？	1867年	日期
张建新是哪个国家的人？	中国	历史
哥伦布是在哪个州？	密西西比州	州
小勤的爱情又叫什么名字？	北大荒那些事	影视作品
潘春春的血型是什么？	b	英文名
张皇后是什么时候出生的？	不详	字词
dreams是什么类型的音乐风格？	另类摇滚	音乐
秦时明月的发行商是什么？	杭州玄机科技信息技术有限公司	公司
旱獭是属于哪种亚门动物？	脊椎动物亚门	动物
刘迁什么时候去世的？	前122年	日期
你知道猪是属于哪种亚门动物？	脊椎动物亚门 vertebrata	动物
蜂蜜美容法的目的是什么？	美容	人物
兴隆镇的邮编是多少？	723601	数字
《美女与野兽》这部电影有多长？	117分钟	单位
《对酒》是谁写的？	曹操	音乐作品
任天堂3ds是什么时候上市的？	2011年3月27日（美版）	日期
最终幻想xiii-2是什么时候发行的？	2011年12月15日（日版） 2012年1月31日（美版） 2012年2月3日（欧版）	日期
梁枫的全名是什么？	梁枫	演员
巴特勒在场上的位置是什么？	前卫	人物
埃斯特雷是在哪个省？	北部省	地点
东北大学的校训是什么？	lux, veritas, virtus (光明、真理、勇气)	歌曲
东森电视是什么时候成立的？	1991年07月03日 （23年205天）	日期
王磊是什么座的？	天蝎座	星座
《我们》的编曲者是谁？	丁炜	歌手
竹雀图是出自哪个朝代？	南宋	中国历史人物
问仙是什么类型的游戏？	arpg	英文名
赶集网是在什么时候上线的？	2005年3月	日期
中央大学的现任校长是谁？	周景扬	人物
fantasy的唱片约签在哪个公司？	波丽佳音	公司
刘丹的英文名是什么？	liu dan	英文名
姜大成的全名是什么？	姜大成	演员
王岩是什么学历？	大学学历	人物
皇家挑战纸牌这个游戏是什么语言的？	英语	语言
你知道陈日君的个人资料吗？	1932年1月13日（82岁）  中华民国上海市	日期
是谁负责基因改造食品？	科学家	人物
《笑傲江湖》的编剧是谁？	于正	人物
黄金蟒属于什么亚目动物？	蛇亚目	动物
谁知道花木兰是哪个公司发行的？	中国电影发行放映公司	公司
有认识张海燕的吗，她现在的职称是什么？	教授	人物
中央大学是什么类型的学校？	国立大学	组织机构
太平镇的政府驻地属于哪个区？	太平社区	地点
金秀贤是哪个经纪公司的？	keyeast	英文名
小翠来自哪个故事？	聊斋志异	小说
我想知道刘涛是什么时候出生的？	1954年7月	日期
《我爱你》这首歌有多长时间？	03:16	日期
《百万英镑》这本书有多少字？	18000	数字
山顶道国宾城在哪个区？	渝北区	行政区划
伊文思什么时候去世的？	1908年 berkhamsted	日期
南京水游城的营业时间是什么时候？	餐饮/零售店铺:10:00-22:00	日期
同方锋锐 k469-i3522b05的内存是多大的？	2gb	单位
泡椒同学餐厅的人均消费是多少？	67	数字
杀人蜂是什么亚目的？	细腰亚目	动物
汪派是谁创立的？	汪笑侬	人物
珨字有多少笔？	10	数字
ipad mini大概有多重？	312g	单位
寂寞是个什么样的词性？	形容词	词语
猎神星是什么时候被发现的？	september 16, 1968	单位
小行星3753是被谁发现的？	duncan waldron	英文名
东岳庙有其他名称吗？	东岳行宫	地点
洛党彝族镇是属于哪个国家的？	中国	历史
燕太子丹是哪个民族的？	华夏	公司
古堡战车可以从哪个游戏站点下载？	4399小游戏	游戏
广颖电通esata/mini usb ssd(16gb)的存储容量是多少？	16gb	单位
齰的偏旁是什么？	齿	字词
二硝基苯的分子式怎么书写？	c6h4n2o4	单位
五十岚多少岁了？	16岁	网络小说
衡山路是什么时候开始修建的？	1922年	日期
滴滴打车的软件大小是多少？	14.8 mb	单位
兴华街道什么时候成立？	2000年1月11日	日期
你知道新寨自然村现在的年平均气温是多少度？	19 ℃	歌曲
吉祥寺的气候是哪种类型？	温带季风性气候	地点
世界城广场是什么时候开业的？	2013年12月21日	日期
杏仁油的主要营养成分是什么？	蛋白质	自然学科
榆阳区巴拉素镇中学一共有多少名教师？	43	数字
小米手机3是什么操作系统？	miui v5/6(基于android os 4.4)	程序
加布里埃尔·罗德里格斯惯用脚是哪只？	右脚	电影
timken rae20rrb轴承的内径是多大？	20 mm	单位
麻木是什么时间发行的？	2003-03-01	日期
太平洋星在小行星分类中属于哪一类？	main belt  主带	软件
清黄慎八月梅花图的规格是多大？	143.5×74cm	单位
思念是哪个唱片公司发行的？	滚石唱片	公司
你知道李威是什么血型的吗？	a 型	书籍
高皇后是属于哪个朝代的？	东魏	历史
城隍庙占地面积是多少？	4000平方米	单位
你知道回龙镇的总面积是多少？	124.25平方公里	单位
不死冥神系列玄幻小说的应用版本是多少？	1	数字
刘武的民族族群是什么？	皇子	人物
长宁镇属于哪个市？	咸阳	中国其他行政区划
麻烦你告诉我关帝庙的建成时间是何时？	清初	文学作品
普照寺的位置在哪里？	山东省枣庄市山亭区	行政区划
湖北工业大学的邮政编码是多少？	430068	数字
《世界上最伟大的理财课》是哪个出版社出版？	安徽人民出版社	公司
南山公园一般的开放时间是什么时候？	全天	字词
你知道湖南卫视的年营业额是多少吗？	63.5亿（2013）	单位
动画片小智的配音是谁？	竹内顺子	演员
天柱山在哪个地方？	中国 安庆市潜山县	历史
杨家将每集的长度有多少分钟？	40	数字
东芝 m856的产品定位是什么？	家用	电子产品
北汉是在什么是建立的？	公元951年	日期
百花小区属于哪个城区？	历城区	中国其他行政区划
砖庙村是哪个省份的？	陕西省	行政区划
排骨炒芋头的主要材料是什么？	排骨芋头	食品
海信xqg70-a1250sj是什么类别的产品？	洗衣机	电器
复方香薷水的用途属于哪科？	内科	医学术语
胃康灵颗粒是否属于处方药？	非处方药	药品
呼啸山庄的级别是多少？	usa:pg-13	单位
惠普compaq 6520s(gy686pa)的cpu主频是什么型号？	intel 酷睿2双核 t5470	公司
秋之牢狱的原作名字叫什么？	秋の牢獄	书籍
《英雄无泪》是一部什么类型的影片？	武侠	电影
洛基是哪天的生日？	10月24日	历史
你知道2011年卡斯特隆伊什的人口数量是多少吗？	363	数字
《达芬奇密码》在什么平台可以观看？	手机 电视	电子产品
家常红烧鲫鱼属于哪种烹饪工艺？	红烧	食品
制作布丁奶茶的难度如何？	普通	字词
离城区最近的机场叫什么名字？	大同机场	机场
《gravity》的制作人是谁？	connie talbot	英文名
对外汉语教师就业网的网站名称是什么？	对外汉语教师就业网	书籍
cis的全名是什么？	城市形象识别系统	系统
小果皂荚的二名法叫什么？	gleditsia australis	单位
你想知道永安桥长多少吗？	13.3米	单位
祺祥hd6850 飙客ii 2gd5 m04是哪个厂家制造的？	nvidia	英文名
李健出生在什么地方？	中国广东	历史
苏州梵高印象是在什么地方创建的？	苏州市	城市
李健的职务是什么？	教授	人物
《爱你，万缕千丝》首播是在什么时间？	2015年3月29日	日期
巴尔斯属于哪个自治区？	巴伦西亚自治区	地点
苏州梵高印象是个什么样的组织形式？	个人独资	公司
你知道怎么拼写毛遂自荐吗？	máo suì zì jiàn	单位
圣地亚哥是什么时候建立的？	1541年2月12日	日期
《倩女幽魂》的监制是谁？	杨绍鸿	人物
灵格斯是在什么时候发布的？	2014-08-16	日期
创神星的近日点是多少？	41.695 au (6.237 516 tm)[1]	单位
昔神星的远日点是多少？	2.947791 au	自然学科
科越nf520ak/940用的什么主芯片组？	nvidia nforce 520	单位
埃夫里属于哪个大区？	勃艮第	地点
朝阳村的国土面积有多大？	1.78平方公里	单位
小行星626是在什么地方发现的？	海德堡	地点
银河特工在应用市场的软件名是什么？	银河特工	游戏
赵州桥属于哪个级别的景点？	4a	工业技术
微星n650 power edition用的什么显卡？	geforce gtx 650	单位
时差fm电台是在什么时候开始创立的？	2013年11月19日	日期
中国石油化工集团公司的注册资金是多少？	2316亿元	单位
李树春的字是什么？	荫轩	人物
小商品展会有哪些内容？	义博会	展会
黄山维斯嘉新材料科技有限公司花了多少资金注册？	500万元	单位
《笑傲江湖》是哪个开发商开发的游戏？	完美世界	小说
《一千零一夜》出自哪个系列丛书？	译文名著精选	书籍
《梦幻魔界王》是什么类型的小说？	网络小说	小说
南京林业大学由什么部门负责主管？	江苏省人民政府	词语
布丁奶茶的菜名叫什么？	布丁奶茶	食品
麻烦你帮我科普下中国民主社会党的基本资料？	国家社会党（1932年4月16日） 民主社会党（1946年8月15日）（68年150天）	日期
杨洋重多少kg？	69kg	单位
koyo 29240轴承的外径是多大？	280mm	单位
李垚坤的净身高是多少？	178cm	单位
惊天动地2的官方网站属于哪个地区？	大陆	电影
嘉年华名苑是什么类型的物业？	普通住宅	社区区划
雷吉纳足球俱乐部位于哪个城市？	雷焦卡拉布里亚	地点
黑龙江省商务厅里内设哪些机构？	办公室	名词
珨字部首的笔画是多少？	4	数字
你知道天津万达广场的面积是多大吗？	50万平方千米	单位
南昌工程学院是所什么样的学校？	普通本科高校	组织机构
《剑气凝神》这本书的写作进程怎么样？	连载中	文学作品
科摩罗法郎的网址是多少？	www.banque-comores.km	单位
映泰m7ncd ultra是什么样的cpu插槽？	socket a	英文名
《极品皇帝》现在的状态是什么？	完结	字词
时光小屋有哪些版本？	android, ios	单位
伊藤实华主要活跃的年代是什么时候？	2000年	日期
中华哮喘杂志是由什么单位主办？	中华医学会	组织机构
你知道柳的繁体字怎么书写吗？	桺	字词
惠普 compaq presario cq40-507a的处理器是什么型号？	amd 双核速龙64 ql-65处理器	通信技术
长沙珠江花城的主要职能是什么？	住宅	词语
少卫的径向速度 (rv)是多少？	-0.88 km/s	单位
南北线的平文是罗马字是什么？	namboku-sen	单位
光明日报什么时候出版一次？	日刊	书籍
《无事生非》的导演是谁？	martin hellberg	英文名
superstar是什么行业？	运动鞋	工业产品
aquapazza是什么平台的游戏？	街机	电子产品
斗神最早在哪个网站发行？	纵横中文网	小说
罗基尼2009年的时候有多少人口？	289	数字
玉兔号是哪个国家研发的？	中华人民共和国	人物
富士通ah530-saj20064的处理器主频是什么？	2.66ghz	单位
天津南站的位置在哪？	天津市 西青区	中国其他行政区划
清水河有多长？	187 km	单位
《中国卫生界》什么时候出版一次？	双月刊	字词
《非常人贩》属于什么等级的电影？	argentina:13，australia:m，brazil:12，france:u，germany:16，ireland:15，new zealand:r16，norway:15，peru:14，singapore:pg，south korea:15，spain:18，sweden:15，uk:15，usa:pg-13	单位
《死亡日记》是什么时候上映发行的？	1999年5月19日	日期
we是哪个公司开发的？	暴雪	自然现象
你知道江蕙的昵称是什么吗？	老江	人物
谁买过让孩子踏上阅读快车道这本书，是什么纸装订的啊？	胶版纸	工业产品
凯旋新城西区属于哪块区域板块？	经十西路	地点
《第十二夜》由谁主演的？	frances barber	英文名
石门水库在什么时候竣工的？	1978年	日期
惠普 g6-2116tx(b8m57pa)的硬盘容量多大？	500gb	单位
skf 6064m轴承有多厚？	74mm	单位
欧文最擅长的运动项目是什么？	足球	人物
魔幻1+1在什么地方发行的？	台湾	书籍
黄村镇的村民主要是什么民族的？	畲族	民族
聊城大学学报（自然科学版）的国内刊号是多少？	cn 37-1418/n	单位
休斯敦火箭队是在哪年成立的？	1967年	日期
你知道谁拍摄的《呼啸山庄》吗？	claudio chea	英文名
《太极》的制片人有哪些？	王中军zhongjun wang 吴彦祖daniel wu	软件
三星galaxy express是在什么时候发布的？	2013年3月（19个月前）	日期
贡山舌唇兰属于哪种亚属？	舌唇兰亚属 subgen. platanthera	植物
牛顿第一运动定律是由谁提出的？	艾萨克·牛顿	人物
吴伯雄继任的是谁的位置？	马英九	人物
关喆擅长的音乐类型有哪些？	r&b、pop、soul、rock等	人物
长寿路站是从什么时候启用的？	1999年6月28日	日期
除夕的中文名字叫什么？	除夕	民俗
西厢记的全名叫什么？	《崔莺莺待月西厢记》	中国文学
华东公路是什么时候创刊的？	1978年	日期
《疯狂的麦克斯》什么时候拍摄的？	1978年	日期
谁是维多利亚公主的父亲？	卡尔十六世·古斯塔夫	人物
浑天说从什么时候开始的？	战国时代	时代
青岛科技大学学报（自然科学版）的国际刊号是多少？	issn 1672-6987	单位
第二次国共内战的参战方有哪些？	中国共产党  1947年以前： 中国共产党军队  1947年以后： 中国人民解放军   1949年10月1日以后： 中华人民共和国政府 中国人民解放军	日期
exploit.html.mht.an上的病毒是可变还是不可变？	可变	字词
大众文艺的国内刊号是多少？	cn 13-1129/i	单位
赵圆瑗现在在什么地方？	上海 浦东新区	行政区划
革命烈士纪念碑修建于什么时候？	1984年	日期
梦的偏旁是什么？	木	字词
海盗船c70的产品有多重？	8.3kg	单位
胡萝卜属于哪种亚种？	胡萝卜	植物
单排扣的本质是什么？	服装术语	计算机术语
映泰m7ncd ultra的cpu类型是什么？	a-xp/athlon/duron	单位
你知道孙杰现在多重？	87kg	单位
你统计下回龙镇现在的总人口是多少？	23285	数字
四溴乙烷的cas号是多少？	630-16-0	日期
白胸苦恶鸟指名亚种什么时候命名的？	pennant,1769	单位
欧阳取长是在哪个医院呢？	湖南省肿瘤医院	医院
大锦衣现在的状态是怎样？	连载中	文学作品
商誉投资属于哪种投资方法？	直接法	语言
北京外国语大学有多少名学生？	6734人（2011年）	日期
山阳小野田市的罗马拼音是什么？	san you o no da si	英文名
三个火枪手是谁负责剪辑？	hidekazu kakesu	英文名
白塔有多高？	28米	单位
《翠鴗科》的命名者和年代分别是什么？	gr gray，1825	单位
实用儿科护理及技术出自哪本书籍？	实用儿科护理及技术	书籍
魔界王子 devils and realist是谁写的？	高殿円	小说
玻璃之唇是谁发行的？	pony canyon	英文名
卡哈帕奇历史是从什么时候开始？	西元400年	日期
nightmare的歌手是哪位？	snow	英文名
朝鲜族服饰使用的是什么材质？	丝绸	总称
《九日》属于什么体裁？	七言律诗	历史
《棒球英豪》什么时候上映的？	1986年4月12日	日期
《超级偶像》从什么时候开始播出？	2015年3月14日－	日期
小行星128895的轨道参数是什么？	348 785 100 km<br>2.3314512 ua	单位
东莞特美口腔医院属于什么类型的医院？	口腔 牙科	疾病
血腥兔闯关操作指南大小是多少？	4150k	单位
徐惠的祖籍在哪？	浙江长兴	行政区划
谁是南阳三中的校长？	王赟	人物
华赛usg2160的外形尺寸多大？	255×442×44.2mm	单位
《第一次》有多少曲目？	10	数字
黄桥镇的电话区码是多是？	523	数字
